county,geometry
Bedford,"POLYGON ((-86.63855488560776 35.68695288596969, -86.54313396971375 35.69816866596793, -86.40176964987077 35.61965820598022, -86.34168981393751 35.6645213259732, -86.24450184404546 35.63212018375604, -86.23389952005724 35.45266770378412, -86.25687122203172 35.41278937490146, -86.42120724384918 35.31932454158276, -86.52546342973338 35.35546427713266, -86.59967969765094 35.36543385935332, -86.61735023763131 35.36792625490849, -86.66329364158028 35.49254603266677, -86.63855488560776 35.68695288596969))"
Maury,"POLYGON ((-87.3383082688305 35.65953653486287, -87.25525673092275 35.7006610615231, -87.2146144889679 35.85020479483304, -87.03614203516614 35.79661829039698, -87.00433506320147 35.77917152151082, -86.93541995727801 35.76172475262466, -86.78168625944878 35.70689205041101, -86.81172617741541 35.69692246819035, -86.84883431137419 35.5261933726615, -86.96015871325054 35.4177741660118, -87.12979589706211 35.45640629711686, -87.20577921897771 35.43397473712037, -87.22698386695416 35.43023614378762, -87.29413191887957 35.44519051711862, -87.26939316290705 35.50625420822018, -87.29766602687565 35.54862493265799, -87.3524447008148 35.5847646682079, -87.3383082688305 35.65953653486287))"
Warren,"POLYGON ((-85.88578988244392 35.83898901483479, -85.86811934246354 35.84522000372271, -85.68257867266964 35.83026563039171, -85.66490813268926 35.82029604817105, -85.60306124275796 35.7953720926194, -85.61543062074422 35.76172475262466, -85.59599302676581 35.61841200820263, -85.55888489280703 35.533670559327, -85.60836240475207 35.53242436154942, -85.82040888451654 35.50500801044259, -85.87695461245373 35.52494717488392, -85.94940382637324 35.57479508598723, -85.98474490633399 35.66078273264045, -85.99711428432025 35.71187684152135, -85.88578988244392 35.83898901483479))"
Robertson,"POLYGON ((-87.11565946507781 36.6440327791533, -87.06088079113866 36.64527897693088, -86.81349323141345 36.64777137248605, -86.76224866547037 36.64901757026363, -86.60674791364309 36.6515099658188, -86.56080450969412 36.64029418582055, -86.69333355954691 36.40725520141256, -86.75518044947822 36.40476280585739, -86.82409555540167 36.34993010364375, -86.91244825530353 36.3823312458609, -86.98843157721913 36.36862307030749, -87.06264784513669 36.42096337696597, -87.12096062707192 36.45585691473829, -87.15100054503856 36.56676851694316, -87.11565946507781 36.6440327791533))"
Hancock,"POLYGON ((-83.47199412112508 36.59916965916032, -83.27585112734295 36.59792346138273, -82.98605427166484 36.59543106582757, -82.83055351983757 36.59418486804999, -82.9507131917041 36.54309075916909, -83.01079302763736 36.56302992361042, -83.12035037551567 36.5131820125071, -83.27938523533902 36.39479322363673, -83.30412399131154 36.38856223474882, -83.38540847522125 36.41348619030047, -83.36950498923892 36.45959550807104, -83.39777785320751 36.53436737472601, -83.47199412112508 36.59916965916032))"
Humphreys,"POLYGON ((-87.94970895215137 36.24275709477163, -87.7995093623182 36.24400329254922, -87.58569582855571 36.19789397477865, -87.5662582345773 36.17795481033733, -87.55212180259301 36.01594909925156, -87.53445126261263 35.99227134147748, -87.5326842086146 35.96859358370341, -87.70762255442028 35.90503749704668, -87.71645782441047 35.83774281705721, -87.85252098225932 35.80409547706248, -87.96384538413567 35.84023521261238, -87.92673725017688 35.92996145259834, -88.02215816607089 35.96485499037066, -87.91966903418474 36.1293530970116, -87.94970895215137 36.24275709477163))"
Putnam,"POLYGON ((-85.78153369655972 36.2377723036613, -85.55888489280703 36.22281793033031, -85.49527094887769 36.3025745880956, -85.41928762696209 36.23527990810614, -85.20370703920155 36.15178465700809, -85.1206555012938 36.14430747034259, -85.10121790731539 36.13807648145468, -85.15246247325847 36.09944435034961, -85.24611633515444 36.10069054812719, -85.26378687513481 35.97856316592407, -85.30973027908378 36.03090347258255, -85.50764032686395 36.08199758146345, -85.64547053871085 36.01470290147397, -85.76739726457542 36.06953560368762, -85.80803950653028 36.13059929478918, -85.80980656052832 36.20661735922173, -85.78153369655972 36.2377723036613))"
Macon,"POLYGON ((-86.20562665608864 36.63904798804297, -86.08193287622603 36.63406319693264, -85.9759096363438 36.62907840582231, -85.87518755845569 36.62409361471197, -85.78860191255187 36.62160121915681, -85.79743718254205 36.61038543915856, -85.81510772252243 36.49947383695369, -85.82924415450672 36.41223999252289, -85.89639220643214 36.42096337696597, -85.97767669034184 36.4259481680763, -86.16675146813182 36.44464113474005, -86.22683130406509 36.48701185917786, -86.2179960340749 36.49947383695369, -86.20562665608864 36.63904798804297))"
Trousdale,"POLYGON ((-86.22683130406509 36.48701185917786, -86.16675146813182 36.44464113474005, -85.97767669034184 36.4259481680763, -85.97767669034184 36.40476280585739, -86.080165822228 36.35491489475408, -86.13671155016519 36.29509740143011, -86.20562665608864 36.34245291697825, -86.26393943802387 36.29883599476285, -86.28337703200228 36.34743770808858, -86.26747354601994 36.45211832140554, -86.22683130406509 36.48701185917786))"
Crockett,"POLYGON ((-89.3421475026047 35.88011354149503, -89.2803006126734 35.88634453038294, -89.18841380477546 35.99974852814298, -89.13540218483435 35.96734738592583, -89.10889637486379 35.86142057483129, -88.91452043507969 35.79786448817456, -88.89154873310521 35.78415631262115, -89.02054367496193 35.67199851263869, -89.06825413290893 35.6931838748576, -89.33861339460863 35.79038730150906, -89.356283934589 35.81780365261589, -89.33861339460863 35.86142057483129, -89.3421475026047 35.88011354149503))"
