location,population,avg_income_pc
Mountain Home,404,"$65,381.12 "
Lookout Mountain,2109,"$39,724.60 "
Germantown,37503,"$34,659.86 "
Brentwood,35747,"$34,271.74 "
Collierville,35993,"$26,158.09 "
Cordova,52710,"$25,795.56 "
Franklin,69347,"$25,705.22 "
Arrington,1588,"$24,485.56 "
Eads,5049,"$23,885.61 "
Signal Mountain,14754,"$23,290.38 "
La Grange,110,"$23,122.65 "
Williston,547,"$21,808.49 "
Arlington,17709,"$21,197.41 "
Nolensville,4236,"$21,192.36 "
Mount Juliet,32480,"$21,006.07 "
Norris,1386,"$20,902.24 "
Viola,49,"$20,680.15 "
Spring Hill,7713,"$20,554.15 "
Thompsons Station,6464,"$20,442.28 "
Old Hickory,22160,"$20,244.71 "
Hermitage,29547,"$20,049.14 "
Pegram,4333,"$20,020.66 "
Hendersonville,48773,"$19,891.19 "
Sewanee,3701,"$19,801.76 "
Only,1246,"$19,594.59 "
Antioch,51343,"$19,435.86 "
Milton,1259,"$19,365.64 "
Kingston Springs,5811,"$19,255.43 "
Hixson,37202,"$19,242.47 "
Ooltewah,23824,"$19,201.10 "
Pleasant View,4175,"$19,089.40 "
Spring Creek,59,"$19,054.09 "
Harrison,11719,"$19,035.77 "
Burns,4237,"$18,709.13 "
Oak Ridge,27279,"$18,587.44 "
Lascassas,2782,"$18,488.77 "
Adams,3114,"$18,349.82 "
Goodlettsville,26386,"$18,266.14 "
College Grove,3074,"$18,152.16 "
Primm Springs,1058,"$18,089.21 "
Dellrose,237,"$18,085.11 "
Cottontown,5156,"$18,027.27 "
La Vergne,18708,"$17,950.00 "
Hurricane Mills,714,"$17,947.22 "
New Johnsonville,3018,"$17,899.60 "
Wilder,141,"$17,891.84 "
Loudon,14549,"$17,864.83 "
Lupton City,270,"$17,825.11 "
Oakfield,813,"$17,707.52 "
White House,10334,"$17,667.36 "
Smyrna,35093,"$17,636.40 "
Eagleville,1777,"$17,518.94 "
Murfreesboro,111654,"$17,439.47 "
Whites Creek,2343,"$17,295.74 "
Christiana,4191,"$17,243.16 "
Brighton,8278,"$17,030.39 "
Powell,21609,"$16,988.19 "
Gordonsville,1858,"$16,914.06 "
Joelton,7394,"$16,850.95 "
Friendsville,4881,"$16,810.85 "
Nashville,413511,"$16,781.71 "
Atoka,11724,"$16,764.83 "
Lebanon,43512,"$16,699.62 "
Greenbrier,11208,"$16,656.99 "
Gatlinburg,4981,"$16,605.94 "
Woodlawn,3977,"$16,605.73 "
Cross Plains,2788,"$16,507.04 "
Rockvale,4904,"$16,494.20 "
Castalian Springs,2716,"$16,452.08 "
Santa Fe,1476,"$16,442.31 "
Millington,28039,"$16,421.43 "
Charleston,3565,"$16,411.88 "
Fall Branch,3667,"$16,400.00 "
Fairview,9162,"$16,331.99 "
Lenoir City,21712,"$16,283.94 "
Gallatin,34155,"$16,244.75 "
Apison,2503,"$16,239.00 "
Oakland,3861,"$16,234.06 "
Hampshire,1247,"$16,170.40 "
Readyville,1888,"$16,148.08 "
Chapel Hill,4907,"$16,113.28 "
Hickman,777,"$16,106.72 "
Medina,2517,"$16,090.65 "
Walland,3746,"$16,064.26 "
Westport,389,"$16,037.74 "
Culleoka,4084,"$16,031.43 "
Columbia,50655,"$16,030.86 "
Orlinda,906,"$16,024.81 "
Pinson,2153,"$16,020.30 "
Soddy Daisy,23312,"$15,874.05 "
Knoxville,346766,"$15,869.66 "
Bell Buckle,3559,"$15,800.00 "
Seymour,17026,"$15,710.81 "
Blountville,13334,"$15,660.00 "
Louisville,11148,"$15,616.07 "
Chapmansboro,2981,"$15,603.81 "
Lancaster,374,"$15,562.25 "
Alcoa,6132,"$15,554.02 "
White Bluff,5687,"$15,520.99 "
Munford,4018,"$15,480.70 "
Cedar Hill,3271,"$15,473.76 "
Watertown,5505,"$15,469.20 "
Cornersville,2272,"$15,459.32 "
Lynnville,2710,"$15,447.31 "
Burlison,2878,"$15,379.77 "
Ocoee,1357,"$15,373.90 "
Maryville,68960,"$15,346.61 "
Springfield,25094,"$15,340.00 "
Wartrace,2767,"$15,339.31 "
Kingston,14572,"$15,331.51 "
Elmwood,1278,"$15,274.42 "
Counce,2451,"$15,269.43 "
Greenback,4241,"$15,245.95 "
Ashland City,16600,"$15,206.27 "
Townsend,2415,"$15,162.22 "
Trimble,948,"$15,145.61 "
Normandy,1642,"$15,110.85 "
Talbott,7930,"$15,080.31 "
Riddleton,595,"$15,072.59 "
Gadsden,1541,"$14,991.15 "
Mount Carmel,4760,"$14,958.70 "
Rockford,3481,"$14,944.13 "
Oldfort,2776,"$14,925.48 "
Jackson,80838,"$14,917.21 "
Bethpage,4529,"$14,901.12 "
Williamsport,928,"$14,876.60 "
Memphis,729307,"$14,839.17 "
Laurel Bloomery,539,"$14,812.24 "
Lavinia,1169,"$14,809.34 "
Brush Creek,1517,"$14,806.49 "
Russellville,3191,"$14,805.56 "
Estill Springs,6631,"$14,779.39 "
Vonore,3750,"$14,732.53 "
Jacks Creek,373,"$14,721.07 "
Dickson,24325,"$14,700.00 "
Kingsport,85514,"$14,696.81 "
Palmyra,1595,"$14,691.46 "
Sale Creek,2658,"$14,681.12 "
Winchester,13892,"$14,615.04 "
Whiteside,355,"$14,591.73 "
Lewisburg,18851,"$14,576.59 "
Clarksville,116465,"$14,575.41 "
Cumberland City,1786,"$14,537.35 "
Cumberland Furnace,3038,"$14,504.14 "
Clinton,24422,"$14,502.08 "
Madison,35192,"$14,434.08 "
Jonesborough,22438,"$14,426.80 "
Tullahoma,23824,"$14,420.65 "
Johnson City,83357,"$14,417.98 "
Piney Flats,6499,"$14,405.18 "
Afton,4286,"$14,386.99 "
Georgetown,3416,"$14,386.79 "
Bumpus Mills,497,"$14,317.55 "
Pulaski,17903,"$14,295.85 "
Corryton,10111,"$14,269.35 "
Union City,16998,"$14,250.00 "
Jasper,7590,"$14,241.30 "
Crossville,41845,"$14,184.82 "
Minor Hill,1083,"$14,167.86 "
Belfast,972,"$14,151.64 "
Lenox,93,"$14,147.29 "
Oliver Springs,10825,"$14,144.88 "
Portland,17217,"$14,139.47 "
Beech Bluff,2836,"$14,135.98 "
Dandridge,12695,"$14,135.10 "
Indian Mound,2436,"$14,125.29 "
Ardmore,2697,"$14,119.75 "
Manchester,22301,"$14,081.10 "
Cunningham,2535,"$14,065.93 "
Calhoun,2152,"$14,044.94 "
Mc Ewen,5891,"$13,988.24 "
Waverly,8441,"$13,987.66 "
Fayetteville,20002,"$13,975.93 "
Andersonville,4301,"$13,964.77 "
Moscow,3586,"$13,962.98 "
Frankewing,344,"$13,946.28 "
Lynchburg,3031,"$13,941.94 "
Church Hill,13606,"$13,906.17 "
Cleveland,78932,"$13,900.37 "
Eagan,68,"$13,878.68 "
Springville,3135,"$13,872.60 "
Alexandria,2009,"$13,812.90 "
Troy,3776,"$13,788.08 "
Mc Donald,3931,"$13,779.53 "
South Fulton,4857,"$13,773.44 "
Charlotte,5353,"$13,770.50 "
Bath Springs,950,"$13,741.00 "
Sugar Tree,502,"$13,733.49 "
Surgoinsville,4268,"$13,699.59 "
Reliance,1034,"$13,679.41 "
Strawberry Plains,8487,"$13,659.46 "
Southside,951,"$13,638.02 "
Rock Island,4174,"$13,618.15 "
Medon,2219,"$13,607.72 "
Milan,12005,"$13,596.69 "
Mosheim,4577,"$13,588.26 "
Henderson,11752,"$13,508.27 "
Rives,1014,"$13,503.94 "
Buchanan,2230,"$13,497.45 "
Rossville,2209,"$13,494.44 "
Flag Pond,867,"$13,480.26 "
Shelbyville,26997,"$13,478.49 "
Kenton,3005,"$13,468.60 "
Sevierville,37470,"$13,467.83 "
Darden,860,"$13,461.54 "
Hillsboro,3080,"$13,452.00 "
Heiskell,4595,"$13,447.01 "
Mount Pleasant,7044,"$13,433.33 "
Kelso,1028,"$13,426.32 "
Coalfield,70,"$13,412.02 "
Grandview,1405,"$13,401.28 "
Mulberry,585,"$13,392.97 "
Martin,15715,"$13,375.00 "
Athens,23726,"$13,360.83 "
New Market,6499,"$13,329.77 "
Bluff City,12405,"$13,324.90 "
Bristol,38992,"$13,324.14 "
Riceville,3911,"$13,303.45 "
Lexington,16176,"$13,301.67 "
Crockett Mills,88,"$13,290.09 "
Walling,1216,"$13,290.08 "
Cookeville,55448,"$13,265.42 "
Luray,564,"$13,257.45 "
Bradford,2922,"$13,201.21 "
Milledgeville,257,"$13,181.52 "
Erwin,12502,"$13,176.75 "
Henry,2037,"$13,163.20 "
Cottage Grove,975,"$13,157.89 "
Flintville,2667,"$13,157.79 "
Finger,1753,"$13,156.06 "
Adamsville,5508,"$13,151.68 "
Chuckey,7090,"$13,134.01 "
Mc Kenzie,9773,"$13,101.67 "
Dover,6635,"$13,059.67 "
Petersburg,3507,"$13,057.53 "
Jefferson City,12627,"$13,038.33 "
Vanleer,1582,"$13,035.85 "
Birchwood,2406,"$13,034.31 "
Dyersburg,28213,"$13,030.36 "
Woodbury,7963,"$13,023.27 "
Sharon,2339,"$13,020.17 "
White Pine,5762,"$13,017.41 "
Auburntown,599,"$13,012.02 "
Nunnelly,2029,"$12,999.24 "
Kodak,8188,"$12,996.97 "
Newbern,6494,"$12,974.22 "
Scotts Hill,1636,"$12,966.39 "
Covington,15728,"$12,942.37 "
Mc Lemoresville,227,"$12,937.96 "
Taft,2340,"$12,935.45 "
Stantonville,1016,"$12,935.10 "
Decaturville,3141,"$12,916.60 "
Mason,4774,"$12,882.21 "
Tennessee Ridge,1927,"$12,865.75 "
Humboldt,16376,"$12,863.41 "
Huntland,2287,"$12,860.77 "
Trenton,9866,"$12,842.02 "
Somerville,9895,"$12,838.29 "
Evensville,2339,"$12,832.82 "
Middleton,3628,"$12,824.10 "
Dresden,6534,"$12,806.25 "
Sardis,1441,"$12,798.30 "
Benton,4714,"$12,773.49 "
Prospect,2987,"$12,772.31 "
