county,sq_mi
Anderson,337.16
Bedford,473.64
Benton,394.14
Bledsoe,406.43
Blount,558.71
Bradley,328.76
Campbell,480.19
Cannon,265.64
Carroll,599.25
Carter,341.2
Cheatham,302.44
Chester,285.74
Claiborne,434.58
Clay,236.54
Cocke,434.57
Coffee,428.96
Crockett,265.54
Cumberland,681.03
Davidson,504.03
Decatur,333.85
DeKalb,304.35
Dickson,489.9
Dyer,512.33
Fayette,704.79
Fentress,498.61
Franklin,554.54
Gibson,602.74
Giles,610.93
Grainger,280.6
Greene,622.17
Grundy,360.53
Hamblen,161.18
Hamilton,542.43
Hancock,222.34
Hardeman,667.77
Hardin,577.32
Hawkins,486.98
Haywood,533.11
Henderson,520.07
Henry,562.1
Hickman,612.5
Houston,200.29
Humphreys,530.98
Jackson,308.32
Jefferson,274.08
Johnson,298.48
Knox,508.22
Lake,165.78
Lauderdale,471.99
Lawrence,617.13
Lewis,282.09
Lincoln,570.34
Loudon,229.22
Macon,307.14
Madison,557.12
Marion,498.16
Marshall,375.46
Maury,613.14
McMinn,430.13
McNairy,562.86
Meigs,195.12
Monroe,635.57
Montgomery,539.18
Moore,129.22
Morgan,522.18
Obion,544.73
Overton,433.48
Perry,414.73
Pickett,162.98
Polk,434.68
Putnam,401.1
Rhea,315.38
Roane,360.71
Robertson,476.29
Rutherford,619.36
Scott,532.3
Sequatchie,265.86
Sevier,592.5
Shelby,763.17
Smith,314.29
Stewart,459.33
Sullivan,413.36
Sumner,529.45
Tipton,458.37
Trousdale,114.19
Unicoi,186.17
Union,223.55
Van Buren,273.42
Warren,432.68
Washington,326.47
Wayne,734.1
Weakley,580.36
White,376.67
Williamson,582.6
Wilson,570.83
