company,lat,lng
S & J Car Wash,36.1719598,-82.8178446
Ultimate Shine Car Wash,36.1848362,-82.7664607
Ultimate Shine Car Wash,36.2168643,-83.2559593
KC Auto Detailing,36.1910069,-83.26479839999999
Ultimate Shine Car Wash,36.31031310000001,-82.4071723
Ultimate Shine Car Wash,36.1988515,-83.3427224
Ultimate Shine Car Wash,36.3593407,-82.3890705
Auqua Jet Auto Wash,35.9625399,-83.17572349999999
Ultimate Shine Car Wash,36.5559806,-82.6064592
Car Crazy Car Wash,35.8244818,-82.5459121
Quality Car Wash,36.3856172,-82.4101635
Wash Depot,36.1737756,-82.839552
Lamons Auto Detailing,36.17136709999999,-82.8163603
Greeneville's Finest Car Wash,36.1481319,-82.84807169999999
Ellenburg Car Wash,36.168974,-82.81207599999999
T T's Car Wash & Detailing,36.16354,-82.80891299999999
Auto Spa,36.1794536,-82.77862429999999
Wash Depot,36.178662,-82.774699
Classic Car Wash,36.1865658,-82.7621834
Parkway Car Wash,36.1893395,-82.9772261
Quicksilver Mobile Detailing,36.296433,-82.60440799999999
Rogersville's Finest Car Wash,36.3932284,-83.0115708
Parrottsville car wash,36.01057249999999,-83.09473
Cherokee Car Wash,36.3867763,-83.0448109
E Z Car Wash,36.4172077,-82.9923498
Three Minute Express Car Wash,36.21691200000001,-83.255864
Morningside Car Wash,36.22536619999999,-83.2667689
Newport Auto Detail Center,35.9670958,-83.1882019
Rev it Up auto detailing,35.9173282,-82.55854169999999
Quality Car Wash,36.1310643,-82.4162289
Automatic Rinse Quality Car Wash,36.1315038,-82.415809
Vintage Car Wash,35.9669196,-83.1945082
Main & 3rd Automatic Car Wash,36.1484877,-82.4126538
South Cumberland Carwash,36.1961479,-83.2799072
CD’s Color Car Wash,36.2198911,-83.2786129
Scrub-a-Dub Car Wash,36.34367570000001,-83.2298634
Sparkle Car Wash,35.9603844,-83.19568629999999
West End Car Wash,35.96924300000001,-83.205325
Quick Car Wash,36.51307999999999,-82.70141199999999
Buffalo Trail Car Wash,36.23276500000001,-83.28679799999999
Wash n' Word,36.5209074,-82.699844
Cherokee Car Wash,36.2253457,-83.30191239999999
Synergy Auto Wash,36.2079651,-83.3088484
West Side Carwash,36.3114934,-82.40643589999999
Mark's Car Wash,36.4105408,-82.4719004
Self Service Car Wash,36.4179521,-82.4753685
Mark's Car Wash,36.2926287,-82.3875465
Rub-A-Dub Car Wash,36.5388144,-82.66794229999999
Morristown finest car wash,36.20106450000001,-83.33345249999999
