company,lat,lng
Zips Car Wash,35.0799299,-85.06838909999999
Highland Hand Carwash & Detail,35.10809119999999,-85.27138269999999
Plaza Car Wash,35.11351520000001,-85.2562353
Super Wash,35.121329,-85.1255778
Superior Hand Car Wash,35.04370480000001,-85.2202928
Express Car Wash,35.03411630000001,-85.1786133
DetailXPerts,34.96357269999999,-85.21959740000001
Surfs Up Car Wash,35.189652,-84.88392100000002
Pearson Services,35.155938,-84.87040100000002
Surfs Up Car Wash,35.1276978,-84.8646478
East Ridge Car Wash & Detail,35.0078652,-85.2649793
Wash N Vac,35.5094524,-85.0023817
Surfs Up Car Wash - Chattanooga,35.088939,-85.331192
Frontier Truck Wash of Chattanooga,35.029422,-85.31753499999999
Goo Goo Express Car Wash - Chattanooga,35.026715,-85.1583881
Car Wash,35.0235058,-85.27367389999999
Hamilton Place Car Wash And Detail,35.0365627,-85.1525552
U Auto Wash,35.1054375,-85.2985781
Super Shine Carwash-Brainerd,35.0169172,-85.2062128
Zips Car Wash,35.0925901,-85.1829676
The Pals’ Carwash,34.9515934,-85.2410319
Sparkle & Shine,35.18890200000001,-85.167841
Storm Car Wash,35.1463115,-85.2222427
Scenic Suds Car Wash Express,35.23608189999999,-85.2022075
Les' Car Wash,35.1213272,-85.1255494
Keep It Clean Auto,35.1428367,-85.238927
Washaroo,35.2542493,-85.1810524
153 Suds,35.14586029999999,-85.2485964
Suds Car Wash,35.1410324,-85.2486528
5 Star Perfection detail center,35.1134155,-85.2604635
Car wash,35.1061757,-85.2727541
Shell Car Wash,35.0874539,-85.07037969999999
Suds Carwash,35.0523049,-85.14885799999999
Kats Kar Wash,35.1750679,-85.3299673
Four Corners Car Wash,35.06105209999999,-85.0662418
Extreme Car Wash,35.0484295,-85.24007019999999
Magic Wash,35.0340997,-85.1786128
Precision Detail & Car Wash,35.0380372,-85.2401757
Express Car Wash,35.0235944,-85.19774129999999
Signal Hand Carwash & Detail,35.08829399999999,-85.329562
Showroom Finish Detailing,35.34295720000001,-85.1318713
Neighborhood Wash,35.0143704,-85.1606429
Mayes Auto Detailing LLC,35.02031030000001,-85.22386190000002
SOSO Clean Auto Detailing,35.01587689999999,-85.2081479
Just4u Cars Wash,35.0232204,-85.2435477
Exquisite Hand Car Wash & Detail,35.033776,-85.26973199999999
Good2go carwash&brake shop,35.0232033,-85.24352119999999
Choo Choo Express Car Wash,35.0063906,-85.1532225
Storm Car Wash East Brainerd,35.00518470000001,-85.1541343
Parked car,35.0419888,-85.307126
