Year,County,Value,LastReportedDate
2011,Anderson,35932,10/23/2018
2011,Bedford,29258,10/23/2018
2011,Benton,30373,10/23/2018
2011,Bledsoe,20002,10/23/2018
2011,Blount,33636,10/23/2018
2011,Bradley,33430,10/23/2018
2011,Campbell,28001,10/23/2018
2011,Cannon,29166,10/23/2018
2011,Carroll,32085,10/23/2018
2011,Carter,28672,10/23/2018
2011,Cheatham,33349,10/23/2018
2011,Chester,27506,10/23/2018
2011,Claiborne,28810,10/23/2018
2011,Clay,29005,10/23/2018
2011,Cocke,26661,10/23/2018
2011,Coffee,32667,10/23/2018
2011,Crockett,35361,10/23/2018
2011,Cumberland,30501,10/23/2018
2011,Davidson,48941,10/23/2018
2011,Decatur,32864,10/23/2018
2011,DeKalb,29568,10/23/2018
2011,Dickson,31418,10/23/2018
2011,Dyer,35107,10/23/2018
2011,Fayette,42677,10/23/2018
2011,Fentress,25885,10/23/2018
2011,Franklin,31391,10/23/2018
2011,Gibson,32565,10/23/2018
2011,Giles,30814,10/23/2018
2011,Grainger,26153,10/23/2018
2011,Greene,33539,10/23/2018
2011,Grundy,26303,10/23/2018
2011,Hamblen,31819,10/23/2018
2011,Hamilton,42142,10/23/2018
2011,Hancock,21050,10/23/2018
2011,Hardeman,24617,10/23/2018
2011,Hardin,31874,10/23/2018
2011,Hawkins,29159,10/23/2018
2011,Haywood,29314,10/23/2018
2011,Henderson,29947,10/23/2018
2011,Henry,33154,10/23/2018
2011,Hickman,25699,10/23/2018
2011,Houston,28866,10/23/2018
2011,Humphreys,31475,10/23/2018
2011,Jackson,25423,10/23/2018
2011,Jefferson,28488,10/23/2018
2011,Johnson,26172,10/23/2018
2011,Knox,39453,10/23/2018
2011,Lake,22986,10/23/2018
2011,Lauderdale,24376,10/23/2018
2011,Lawrence,28262,10/23/2018
2011,Lewis,24567,10/23/2018
2011,Lincoln,33792,10/23/2018
2011,Loudon,39442,10/23/2018
2011,Macon,27223,10/23/2018
2011,Madison,35279,10/23/2018
2011,Marion,31775,10/23/2018
2011,Marshall,28155,10/23/2018
2011,Maury,33346,10/23/2018
2011,McMinn,29605,10/23/2018
2011,Mcnairy,27199,10/23/2018
2011,Meigs,26737,10/23/2018
2011,Monroe,27136,10/23/2018
2011,Montgomery,40445,10/23/2018
2011,Moore,32430,10/23/2018
2011,Morgan,24895,10/23/2018
2011,Obion,34599,10/23/2018
2011,Overton,26538,10/23/2018
2011,Perry,25138,10/23/2018
2011,Pickett,28811,10/23/2018
2011,Polk,27821,10/23/2018
2011,Putnam,33153,10/23/2018
2011,Rhea,28958,10/23/2018
2011,Roane,34100,10/23/2018
2011,Robertson,32874,10/23/2018
2011,Rutherford,32538,10/23/2018
2011,Scott,24913,10/23/2018
2011,Sequatchie,30072,10/23/2018
2011,Sevier,30466,10/23/2018
2011,Shelby,41199,10/23/2018
2011,Smith,30529,10/23/2018
2011,Stewart,38382,10/23/2018
2011,Sullivan,36177,10/23/2018
2011,Sumner,37367,10/23/2018
2011,Tennessee,37457,10/23/2018
2011,Tipton,31782,10/23/2018
2011,Trousdale,30223,10/23/2018
2011,Unicoi,31839,10/23/2018
2011,Union,25207,10/23/2018
2011,VanBuren,23703,10/23/2018
2011,Warren,28204,10/23/2018
2011,Washington,36151,10/23/2018
2011,Wayne,24766,10/23/2018
2011,Weakley,30876,10/23/2018
2011,White,28109,10/23/2018
2011,Williamson,70539,10/23/2018
2011,Wilson,37566,10/23/2018
2012,Anderson,36173,10/23/2018
2012,Bedford,30584,10/23/2018
2012,Benton,31577,10/23/2018
2012,Bledsoe,20910,10/23/2018
2012,Blount,35214,10/23/2018
2012,Bradley,35056,10/23/2018
2012,Campbell,28929,10/23/2018
2012,Cannon,30249,10/23/2018
2012,Carroll,32687,10/23/2018
2012,Carter,29254,10/23/2018
2012,Cheatham,35138,10/23/2018
2012,Chester,28634,10/23/2018
2012,Claiborne,30074,10/23/2018
2012,Clay,29354,10/23/2018
2012,Cocke,27158,10/23/2018
2012,Coffee,33775,10/23/2018
2012,Crockett,34885,10/23/2018
2012,Cumberland,31582,10/23/2018
2012,Davidson,47729,10/23/2018
2012,Decatur,33651,10/23/2018
2012,DeKalb,30577,10/23/2018
2012,Dickson,32504,10/23/2018
2012,Dyer,36318,10/23/2018
2012,Fayette,45261,10/23/2018
2012,Fentress,27032,10/23/2018
2012,Franklin,33261,10/23/2018
2012,Gibson,33759,10/23/2018
2012,Giles,32422,10/23/2018
2012,Grainger,27493,10/23/2018
2012,Greene,34438,10/23/2018
2012,Grundy,27462,10/23/2018
2012,Hamblen,31972,10/23/2018
2012,Hamilton,44252,10/23/2018
2012,Hancock,21665,10/23/2018
2012,Hardeman,25635,10/23/2018
2012,Hardin,33108,10/23/2018
2012,Hawkins,30184,10/23/2018
2012,Haywood,29786,10/23/2018
2012,Henderson,31127,10/23/2018
2012,Henry,34649,10/23/2018
2012,Hickman,26808,10/23/2018
2012,Houston,29423,10/23/2018
2012,Humphreys,32744,10/23/2018
2012,Jackson,26173,10/23/2018
2012,Jefferson,29350,10/23/2018
2012,Johnson,27387,10/23/2018
2012,Knox,41683,10/23/2018
2012,Lake,23659,10/23/2018
2012,Lauderdale,25649,10/23/2018
2012,Lawrence,29615,10/23/2018
2012,Lewis,25727,10/23/2018
2012,Lincoln,34666,10/23/2018
2012,Loudon,40421,10/23/2018
2012,Macon,29057,10/23/2018
2012,Madison,35987,10/23/2018
2012,Marion,32646,10/23/2018
2012,Marshall,30106,10/23/2018
2012,Maury,35317,10/23/2018
2012,McMinn,30854,10/23/2018
2012,Mcnairy,28086,10/23/2018
2012,Meigs,28057,10/23/2018
2012,Monroe,27876,10/23/2018
2012,Montgomery,39185,10/23/2018
2012,Moore,34293,10/23/2018
2012,Morgan,25469,10/23/2018
2012,Obion,33300,10/23/2018
2012,Overton,27362,10/23/2018
2012,Perry,26335,10/23/2018
2012,Pickett,31032,10/23/2018
2012,Polk,29597,10/23/2018
2012,Putnam,34417,10/23/2018
2012,Rhea,29863,10/23/2018
2012,Roane,34889,10/23/2018
2012,Robertson,34795,10/23/2018
2012,Rutherford,34456,10/23/2018
2012,Scott,25078,10/23/2018
2012,Sequatchie,31792,10/23/2018
2012,Sevier,31615,10/23/2018
2012,Shelby,42875,10/23/2018
2012,Smith,31678,10/23/2018
2012,Stewart,37904,10/23/2018
2012,Sullivan,37373,10/23/2018
2012,Sumner,40036,10/23/2018
2012,Tennessee,38778,10/23/2018
2012,Tipton,32645,10/23/2018
2012,Trousdale,31219,10/23/2018
2012,Unicoi,32243,10/23/2018
2012,Union,26380,10/23/2018
2012,VanBuren,24072,10/23/2018
2012,Warren,29837,10/23/2018
2012,Washington,37129,10/23/2018
2012,Wayne,25888,10/23/2018
2012,Weakley,30534,10/23/2018
2012,White,29456,10/23/2018
2012,Williamson,77082,10/23/2018
2012,Wilson,39727,10/23/2018
2013,Anderson,35851,10/23/2018
2013,Bedford,31694,10/23/2018
2013,Benton,31780,10/23/2018
2013,Bledsoe,19876,10/23/2018
2013,Blount,35469,10/23/2018
2013,Bradley,34939,10/23/2018
2013,Campbell,29340,10/23/2018
2013,Cannon,30767,10/23/2018
2013,Carroll,33461,10/23/2018
2013,Carter,29240,10/23/2018
2013,Cheatham,35592,10/23/2018
2013,Chester,28340,10/23/2018
2013,Claiborne,29818,10/23/2018
2013,Clay,29441,10/23/2018
2013,Cocke,27759,10/23/2018
2013,Coffee,34020,10/23/2018
2013,Crockett,36865,10/23/2018
2013,Cumberland,31761,10/23/2018
2013,Davidson,46986,10/23/2018
2013,Decatur,33272,10/23/2018
2013,DeKalb,30798,10/23/2018
2013,Dickson,32928,10/23/2018
2013,Dyer,36062,10/23/2018
2013,Fayette,45466,10/23/2018
2013,Fentress,28495,10/23/2018
2013,Franklin,33508,10/23/2018
2013,Gibson,34985,10/23/2018
2013,Giles,33304,10/23/2018
2013,Grainger,27723,10/23/2018
2013,Greene,35520,10/23/2018
2013,Grundy,27758,10/23/2018
2013,Hamblen,32254,10/23/2018
2013,Hamilton,43630,10/23/2018
2013,Hancock,21935,10/23/2018
2013,Hardeman,26719,10/23/2018
2013,Hardin,33056,10/23/2018
2013,Hawkins,29660,10/23/2018
2013,Haywood,32790,10/23/2018
2013,Henderson,31023,10/23/2018
2013,Henry,36344,10/23/2018
2013,Hickman,27345,10/23/2018
2013,Houston,29374,10/23/2018
2013,Humphreys,32717,10/23/2018
2013,Jackson,26772,10/23/2018
2013,Jefferson,29726,10/23/2018
2013,Johnson,28020,10/23/2018
2013,Knox,41144,10/23/2018
2013,Lake,24914,10/23/2018
2013,Lauderdale,26211,10/23/2018
2013,Lawrence,30278,10/23/2018
2013,Lewis,26441,10/23/2018
2013,Lincoln,35486,10/23/2018
2013,Loudon,40102,10/23/2018
2013,Macon,28545,10/23/2018
2013,Madison,35567,10/23/2018
2013,Marion,32493,10/23/2018
2013,Marshall,30924,10/23/2018
2013,Maury,35900,10/23/2018
2013,McMinn,31192,10/23/2018
2013,Mcnairy,27803,10/23/2018
2013,Meigs,28302,10/23/2018
2013,Monroe,28020,10/23/2018
2013,Montgomery,38904,10/23/2018
2013,Moore,35056,10/23/2018
2013,Morgan,25722,10/23/2018
2013,Obion,35391,10/23/2018
2013,Overton,28123,10/23/2018
2013,Perry,26837,10/23/2018
2013,Pickett,31293,10/23/2018
2013,Polk,30051,10/23/2018
2013,Putnam,34133,10/23/2018
2013,Rhea,29953,10/23/2018
2013,Roane,34838,10/23/2018
2013,Robertson,35332,10/23/2018
2013,Rutherford,34856,10/23/2018
2013,Scott,25873,10/23/2018
2013,Sequatchie,31712,10/23/2018
2013,Sevier,32350,10/23/2018
2013,Shelby,42505,10/23/2018
2013,Smith,32894,10/23/2018
2013,Stewart,36781,10/23/2018
2013,Sullivan,37048,10/23/2018
2013,Sumner,40158,10/23/2018
2013,Tennessee,38814,10/23/2018
2013,Tipton,33349,10/23/2018
2013,Trousdale,32034,10/23/2018
2013,Unicoi,32871,10/23/2018
2013,Union,26616,10/23/2018
2013,VanBuren,24837,10/23/2018
2013,Warren,30566,10/23/2018
2013,Washington,36764,10/23/2018
2013,Wayne,26578,10/23/2018
2013,Weakley,32640,10/23/2018
2013,White,29438,10/23/2018
2013,Williamson,77817,10/23/2018
2013,Wilson,40067,10/23/2018
2014,Anderson,36924,10/23/2018
2014,Bedford,33250,10/23/2018
2014,Benton,32131,10/23/2018
2014,Bledsoe,19950,10/23/2018
2014,Blount,36491,10/23/2018
2014,Bradley,35816,10/23/2018
2014,Campbell,29560,10/23/2018
2014,Cannon,31838,10/23/2018
2014,Carroll,33033,10/23/2018
2014,Carter,30276,10/23/2018
2014,Cheatham,36016,10/23/2018
2014,Chester,28527,10/23/2018
2014,Claiborne,29954,10/23/2018
2014,Clay,30698,10/23/2018
2014,Cocke,27951,10/23/2018
2014,Coffee,35294,10/23/2018
2014,Crockett,34467,10/23/2018
2014,Cumberland,32806,10/23/2018
2014,Davidson,51179,10/23/2018
2014,Decatur,32787,10/23/2018
2014,DeKalb,31548,10/23/2018
2014,Dickson,34078,10/23/2018
2014,Dyer,36673,10/23/2018
2014,Fayette,45921,10/23/2018
2014,Fentress,28715,10/23/2018
2014,Franklin,34385,10/23/2018
2014,Gibson,34729,10/23/2018
2014,Giles,34234,10/23/2018
2014,Grainger,28370,10/23/2018
2014,Greene,35790,10/23/2018
2014,Grundy,27537,10/23/2018
2014,Hamblen,33188,10/23/2018
2014,Hamilton,44883,10/23/2018
2014,Hancock,23031,10/23/2018
2014,Hardeman,26398,10/23/2018
2014,Hardin,33412,10/23/2018
2014,Hawkins,30327,10/23/2018
2014,Haywood,28670,10/23/2018
2014,Henderson,31720,10/23/2018
2014,Henry,36558,10/23/2018
2014,Hickman,27613,10/23/2018
2014,Houston,30791,10/23/2018
2014,Humphreys,34230,10/23/2018
2014,Jackson,27310,10/23/2018
2014,Jefferson,30827,10/23/2018
2014,Johnson,28561,10/23/2018
2014,Knox,42912,10/23/2018
2014,Lake,23887,10/23/2018
2014,Lauderdale,25641,10/23/2018
2014,Lawrence,30401,10/23/2018
2014,Lewis,28002,10/23/2018
2014,Lincoln,36157,10/23/2018
2014,Loudon,41231,10/23/2018
2014,Macon,29500,10/23/2018
2014,Madison,36158,10/23/2018
2014,Marion,33358,10/23/2018
2014,Marshall,32042,10/23/2018
2014,Maury,36234,10/23/2018
2014,McMinn,31858,10/23/2018
2014,Mcnairy,28193,10/23/2018
2014,Meigs,29782,10/23/2018
2014,Monroe,28860,10/23/2018
2014,Montgomery,38439,10/23/2018
2014,Moore,36911,10/23/2018
2014,Morgan,25728,10/23/2018
2014,Obion,35380,10/23/2018
2014,Overton,28826,10/23/2018
2014,Perry,27689,10/23/2018
2014,Pickett,32378,10/23/2018
2014,Polk,30584,10/23/2018
2014,Putnam,34685,10/23/2018
2014,Rhea,31258,10/23/2018
2014,Roane,35852,10/23/2018
2014,Robertson,35910,10/23/2018
