company,lat,lng
PureMagic Carwash - Alcoa,35.8294974,-83.9752287
American Self Storage & Car Wash,35.849035,-83.985951
Broadway Car Wash,36.046645,-83.92813699999999
Superior Car Wash,35.7593688,-83.87849419999999
Zips Car Wash,35.76434549999999,-83.97217409999999
PureMagic Carwash,36.0234695,-83.9263589
Zips Car Wash,35.9721699,-83.9848447
Zips Car Wash,36.0509391,-83.99258870000001
Synergy Auto Wash Halls,36.0707053,-83.92690789999999
Miracle Car Wash,35.9459164,-84.0805149
Rapid Lube and Car Wash,36.02083999999999,-83.7791469
Self Service Car Wash,35.940437,-84.09405459999999
Zips Car Wash,35.9102696,-84.08977689999999
Zips Car Wash,35.9520786,-84.1217234
PureMagic Carwash,35.8872088,-84.15046679999999
Miracle Car Wash,36.1595366,-84.09092849999999
"Blue Beacon Truck Wash of Knoxville, TN",35.88126680000001,-84.2328248
River Plantation RV & Bus Wash,35.8531553,-83.56558059999999
Vol Magic Wash,36.1252147,-83.46942960000001
Sparkling Image Car Wash,35.9252796,-84.04494869999999
Sparkling Image Car Wash,36.008423,-83.976192
PureMagic Carwash,35.90270170000001,-84.13950249999999
Production of East Tennessee,36.03179799999999,-83.894897
Car Care,35.7516307,-83.97602669999999
Zips Car Wash,35.906839,-83.840487
Synergy Auto Wash,35.8975883,-84.13014679999999
Zips Car Wash,35.9345911,-83.9967441
Pride Truck Wash - Knoxville,35.8816666,-84.2380542
Sparkle Clean Car Wash,36.014355,-83.973798
Zips Car Wash,35.75909350000001,-83.9908331
Volunteer Auto Wash,35.9827146,-83.8984816
Wash-A-Lot,35.770194,-83.98438200000001
Zips Car Wash,35.851835,-83.56912129999999
Roy's Auto Detail Center,35.99066089999999,-83.922623
Clean Machine Magic Carwash,36.0120567,-83.92457350000001
