company,lat,lng
Auto Clean Express,35.56852970000001,-88.81503529999999
Car Wash USA Express - North Highland,35.6814387,-88.8307819
Morton's Trailer Washout,35.5920028,-89.0546722
Daddy Don's Hand Car Wash,35.620435,-88.8333251
T & J Mobile,35.60787499999999,-88.813445
Corey's Carwash & Detail,35.61733400000001,-88.80751599999999
East Jackson Car Wash And Detail,35.6229149,-88.80164420000001
Chester Street Car Wash & Laundry,35.6118021,-88.794102
Wizard Car Wash,35.5764733,-88.8151535
Wizard Automotive & Home Detail LLC,35.64858939999999,-88.82140460000001
Greer mobiledetailing,35.6506187,-88.8674781
Paige Detailing and Pressure Washing,35.6568348,-88.8507905
Elite Auto Detail,35.6809159,-88.85466149999999
Car Wash USA Express - Oil Well,35.6901122,-88.85806339999999
Chrome Zone,35.68477710000001,-88.73904429999999
Castellaws Auto Detailing,35.769551,-88.86327899999999
Car wash,35.79341879999999,-88.7908477
X-Stream Touchless Wash,35.80219,-88.77606589999999
Car Wash of Medina,35.8022365,-88.77604269999999
Downtown Car Wash,35.70985230000001,-89.0874135
T & B's Carwash and Detail,35.82660059999999,-88.9159205
Plaza Car Wash,35.44056190000001,-88.6479658
Xtreme Wash,35.43905420000001,-88.64670439999999
s&s car wash,35.8361603,-88.8940823
Flamingo Car Wash,35.7388546,-89.0833584
Fast Wash,35.4445835,-88.61807089999999
Wright's Hand Car Wash,35.9088359,-88.7634357
Bumper 2 Bumper Car Wash,35.907907,-88.7522381
Supersuds,35.606655,-89.254493
Big Red Carwash,35.6618173,-88.4210667
Wizard Car Wash,35.656329,-88.40600219999999
Wash N' Roll Car Wash - Lexington,35.6540435,-88.3994563
Wash & Works,35.65123599999999,-88.392645
Car Wash,35.3186483,-89.14881969999999
