company,lat,lng
Car Wash,36.4139062,-89.0774768
Spot Free Rinse,36.414479,-89.07296339999999
Superior Car Wash,36.5044342,-88.8921431
Quality Plus Car Wash,36.4929582,-88.8748054
Merrell Carwash & Clean,36.4953611,-88.8749743
Hurricane Bay Touchfree Auto Wash,36.65185639999999,-88.98886089999999
RB&B Car Wash,36.172448,-88.807063
Spot Free Choice Wash,36.1721237,-88.8067519
Super Car Wash #3,36.1566132,-88.8006563
Grand prix Super Wash,36.0493431,-89.36759939999999
Car Wash USA Express - Dyersburg,36.0590925,-89.39558149999999
The Detail Shop,36.29147400000001,-88.709603
Super Car Wash #2,36.2758091,-88.7075005
Super Car Wash #1,36.2912033,-88.69999949999999
R & R Auto Spa,36.0399487,-89.38440659999999
A Touch of Class,36.0399883,-89.384498
National Car Wash,36.04618050000001,-89.4075136
Kc Detail Shop,36.0349254,-89.40403909999999
Portageville Car Wash,36.4496719,-89.6679553
East Prairie Car Wash,36.75557010000001,-89.3955707
Rohrer's Car Wash,36.7890903,-89.0127143
WISHY WASHIES,36.1958216,-89.6643428
Shirley'S-Splish Splash Buggy,36.42495720000001,-89.7005386
