company,lat,lng
Word of Mouth Detailing,35.2036778,-89.81022500000002
Car Wash USA Express - Perkins,35.0737536,-89.90554759999999
Car Genie Mobile Car Wash and Detail,35.0700928,-89.77697959999999
Car Wash USA Express - Riverdale,35.0460981,-89.82995869999999
Car Genie Mobile CarWash and Detail,34.96246199999999,-89.91870879999999
Crossroads Truck Wash,35.1530657,-90.1313222
Zips Car Wash,35.114107,-89.9007604
M & M Mobile Car Wash & Detail,35.2201225,-90.028748
Cooper's Detail Shop,35.3339669,-89.89795219999999
Sunshine Car Wash,35.115467,-89.94683400000001
Car Genie Mobile Car,35.0278019,-90.0093266
Car Wash Services Inc,35.0852135,-89.95543239999999
Car Genie Mobile Car Wash and Detail,34.9627799,-90.0247421
Car Wash USA Express - Bartlett,35.2045328,-89.83093540000002
Car Wash USA Express - Union,35.1353939,-90.0060067
Car Wash USA Express - Mt Moriah,35.0725593,-89.86219349999999
Gloss Mobile Detailing,35.06161,-89.85022099999999
Quick Shine Express Wash,35.0508964,-89.8671035
TBOC Auto Spa & Detailing,35.064524,-89.98741489999999
"Blue Beacon Truck Wash of West Memphis, AR",35.15328940000001,-90.1425369
