company,lat,lng
QualTec LLC,36.580434,-82.3251425
Southern Classic Car Wash,36.577187,-82.18925999999999
Ultimate Shine Car Wash,36.5452492,-82.5032621
Ultimate Shine Car Wash,36.3593407,-82.3890705
Ultimate Shine Car Wash,36.3477956,-82.2456658
Ultimate Shine Car Wash,36.31031310000001,-82.4071723
Ultimate Shine Car Wash,36.5559806,-82.6064592
Quality Car Wash,36.3856172,-82.4101635
Pitstop Car Wash,36.3581237,-82.36563869999999
SOAP & MORE CARWASH SUPPLIES AND SERVICE,36.50903,-82.27246
Speedway Supercenter Carwash LLC,36.5343589,-82.2416763
Quality Car Wash,36.4381421,-82.30392160000001
3 Minute Express Car Wash,36.425504,-82.3180411
Ultimate Shine Car Wash,36.4104636,-82.33529879999999
Ultimate Shine Car Wash,36.6026006,-82.1933995
Car Wash,36.6020394,-82.1914475
Dave's Super Wash,36.5764737,-82.16592589999999
Wash Depot,36.3798753,-82.36602270000002
TruShine Carwash III,36.38559970000001,-82.41655089999999
Quality Car Wash,36.5293022,-82.5028754
Automatic car wash,36.35810779999999,-82.3656721
Wash World,36.4910609,-82.50494719999999
Self Service Car Wash,36.4179521,-82.4753685
Mark's Car Wash,36.4105408,-82.4719004
Quality Car Wash,36.53681,-82.51983
Kingsport Carwash,36.54964500000001,-82.52530800000001
Quality Car Wash,36.48945750000001,-82.5281318
TruShine Carwash,36.62896969999999,-82.1294425
Super Hydro-Pressure Car Wash,36.33227220000001,-82.3403033
Clean Stop Car Wash,36.5399694,-82.54705589999999
Aaa Car Wash,36.5425507,-82.55396630000001
Bird Bath Car Wash,36.308564,-82.3307801
Bubblez Hand Car Wash & Detailing,36.6416206,-82.1012496
West Side Carwash,36.3114934,-82.40643589999999
Mark's Car Wash,36.2926287,-82.3875465
Sam's Car Wash,36.5981903,-82.5716798
