LocationID,Category,AADT,AADT_Year,Latitude,Longitude
01000005,CC,395,2019,36.126099,-84.416817
01000007,CC,1916,2019,36.191066,-84.181373
01000008,CC,3519,2019,36.218138,-84.162139
01000010,CC,2348,2019,36.228584,-84.155918
01000011,CC,8840,2019,36.214983,-84.152704
01000013,CC,1059,2019,36.199488,-84.153285
01000014,CC,6620,2019,36.185714,-84.14494
01000016,CC,1258,2019,36.219962,-84.085278
01000018,CC,1455,2019,36.238447,-84.030034
01000019,CC,2236,2019,36.203735,-84.028585
01000020,CC,2852,2019,36.210924,-84.027543
01000021,CC,569,2019,36.203101,-84.047037
01000022,CC,7513,2019,36.195097,-84.050563
01000023,CC,3403,2019,36.194532,-84.067318
01000024,CC,2002,2019,36.182595,-84.075519
01000026,CC,2377,2019,36.160809,-84.080864
01000027,CC,466,2019,36.185913,-83.996217
01000028,CC,920,2019,36.174305,-84.003925
01000029,CC,1650,2019,36.145858,-84.013085
01000030,CC,1610,2019,36.155335,-84.025493
01000031,CC,866,2019,36.144911,-84.037258
01000032,CC,1364,2019,36.127891,-84.09392
01000035,CC,26010,2019,36.118381,-84.117474
01000036,CC,9440,2019,36.119058,-84.133044
01000037,CC,434,2019,36.123545,-84.235011
01000038,CC,605,2019,36.125992,-84.223355
01000039,CC,924,2019,36.120844,-84.203772
01000040,CC,661,2019,36.109528,-84.240688
01000041,CC,454,2019,36.108022,-84.188545
01000042,CC,2367,2019,36.101006,-84.151264
01000043,CC,18050,2019,36.089705,-84.142995
01000044,CC,18828,2019,36.084924,-84.129243
01000045,CC,2197,2019,36.076526,-84.133785
01000046,CC,2077,2019,36.066973,-84.140888
01000047,CC,1695,2019,36.064865,-84.116708
01000048,CC,1255,2019,36.058808,-84.128614
01000049,CC,14990,2019,36.048395,-84.117036
01000050,CC,4925,2019,36.045277,-84.107445
01000051,CC,22645,2019,36.038755,-84.107014
01000053,CC,16134,2019,36.037481,-84.120444
01000055,CC,1801,2019,36.030629,-84.158077
01000056,CC,15612,2019,36.017025,-84.167139
