company,lat,lng
Ultimate Shine Car Wash,36.31031310000001,-82.4071723
Ultimate Shine Car Wash,36.3593407,-82.3890705
Ultimate Shine Car Wash,36.3477956,-82.2456658
Ultimate Shine Car Wash,36.1848362,-82.7664607
Ultimate Shine Car Wash,36.5452492,-82.5032621
Ultimate Shine Car Wash,36.5559806,-82.6064592
S & J Car Wash,36.1719598,-82.8178446
QualTec LLC,36.580434,-82.3251425
Southern Classic Car Wash,36.577187,-82.18925999999999
Quality Car Wash,36.3856172,-82.4101635
Pitstop Car Wash,36.3581237,-82.36563869999999
West Side Carwash,36.3114934,-82.40643589999999
Quicksilver Mobile Detailing,36.296433,-82.60440799999999
Mark's Car Wash,36.2926287,-82.3875465
TruShine Carwash III,36.38559970000001,-82.41655089999999
Mark's Car Wash,36.4105408,-82.4719004
Automatic car wash,36.35810779999999,-82.3656721
Self Service Car Wash,36.4179521,-82.4753685
Super Hydro-Pressure Car Wash,36.33227220000001,-82.3403033
Bird Bath Car Wash,36.308564,-82.3307801
Wash Depot,36.3798753,-82.36602270000002
Maple Grove Car Wash,36.2053135,-82.3499756
Main & 3rd Automatic Car Wash,36.1484877,-82.4126538
Automatic Rinse Quality Car Wash,36.1315038,-82.415809
Quality Car Wash,36.1310643,-82.4162289
Ultimate Shine Car Wash,36.4104636,-82.33529879999999
3 Minute Express Car Wash,36.425504,-82.3180411
Quality Car Wash,36.48945750000001,-82.5281318
Wash World,36.4910609,-82.50494719999999
Quality Car Wash,36.4381421,-82.30392160000001
Quality Car Wash,36.5293022,-82.5028754
Classic Car Wash,36.1865658,-82.7621834
Quality Car Wash,36.53681,-82.51983
Clean Stop Car Wash,36.5399694,-82.54705589999999
Wash Depot,36.178662,-82.774699
Aaa Car Wash,36.5425507,-82.55396630000001
Auto Spa,36.1794536,-82.77862429999999
Kingsport Carwash,36.54964500000001,-82.52530800000001
Quick Car Wash,36.51307999999999,-82.70141199999999
Wash n' Word,36.5209074,-82.699844
Rub-A-Dub Car Wash,36.5388144,-82.66794229999999
SOAP & MORE CARWASH SUPPLIES AND SERVICE,36.50903,-82.27246
