company,lat,lng
Shur Brite Hi Speed Car Wash,36.1529966,-86.79500139999999
Mister Car Wash,35.9876422,-86.545082
White Bridge Auto Wash,36.1385861,-86.85729479999999
Mobile Detail Solution,35.7437341,-86.8811844
Details To Go,35.9088498,-86.8749654
Sudsy's Car Wash,35.7690182,-86.9187115
MILES Express,35.95249859999999,-86.81853629999999
Washtopia,35.73907920000001,-86.893028
Champion Car Wash,36.0745327,-86.9238781
"Clean Way Detail- Nolensville, Franklin, Brentwood",36.0330184,-86.71497289999999
Premier Mobile Detailing,36.07754320000001,-86.7315785
Mister Car Wash,36.0839362,-86.7271967
Magic Spray Car Wash,35.6185054,-87.09409749999999
D & T Truck Wash & Repair,36.01606259999999,-86.6167019
Auto Spa of Nashville,36.14767760000001,-86.7926466
Magic Spray Car Wash,35.59821850000001,-87.082229
MILES The Auto Spa,35.9588889,-86.8061111
Mister Car Wash,35.590983,-87.0497206
Mister Car Wash,36.0931787,-86.6517314
Mister Car Wash,36.0295613,-86.59221199999999
Mister Car Wash,36.2024493,-86.73937649999999
Super Wash,35.5464418,-87.19934909999999
Camel Express Car Wash,36.2431182,-86.75753019999999
Franklin Car Wash & Detail,35.9147133,-86.8308167
Cool Springs Car Wash,35.9276679,-86.82499179999999
Champion Car Wash,36.11966299999999,-86.7744409
Wash Me Express Car Wash - Donelson,36.14968100000001,-86.666893
Hermitage Auto Wash,36.20186229999999,-86.6180007
Mister Car Wash,35.84530609999999,-86.457095
Auto Detailing by Details To Go,35.914821,-86.82204899999999
Columbia Car Wash & Detailing,35.6248948,-87.0329831
Car Wash USA Express- Nolensville,36.0414785,-86.712339
Campbell Station Carwash,35.77825209999999,-86.9140264
Suds Up Car Wash of West Nashville,36.1454729,-86.8576167
